"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"193","AB","tg_mean","NorESM1-M","rcp85","2071-2100",5.68092757138339,0.317529680720466
"194","AB","tg_mean","NorESM1-M","rcp85","2041-2070",3.21185211027511,0.21418422267826
"195","AB","tg_mean","bcc-csm1-1-m","rcp85","2071-2100",4.81410788526439,0.401418149398583
"196","AB","tg_mean","bcc-csm1-1-m","rcp85","2041-2070",2.88023957146539,0.209917680643099
"197","AB","tg_mean","bcc-csm1-1","rcp85","2071-2100",5.93591357722427,0.306716210508708
"198","AB","tg_mean","bcc-csm1-1","rcp85","2041-2070",3.90765389529142,0.239185318257329
"199","AB","tg_mean","ACCESS1-0","rcp85","2071-2100",7.05050237829035,0.486172039969335
"200","AB","tg_mean","ACCESS1-0","rcp85","2041-2070",4.09767696110889,0.374455279243978
"201","YT","tg_mean","BNU-ESM","rcp45","2071-2100",6.58044735270883,0.506233982214525
"202","YT","tg_mean","BNU-ESM","rcp45","2041-2070",5.3884939674302,0.483702095081886
"203","YT","tg_mean","CCSM4","rcp45","2071-2100",3.62198727162592,0.357301106201796
"204","YT","tg_mean","CCSM4","rcp45","2041-2070",2.41459162894508,0.322767040069981
"205","YT","tg_mean","CESM1-CAM5","rcp45","2071-2100",3.99004888420742,0.828188052921787
"206","YT","tg_mean","CESM1-CAM5","rcp45","2041-2070",3.07876853149497,0.681194612299517
"207","YT","tg_mean","CNRM-CM5","rcp45","2071-2100",3.76403675280941,0.58041766334881
"208","YT","tg_mean","CNRM-CM5","rcp45","2041-2070",2.91986305348669,0.508328930207475
"209","YT","tg_mean","CSIRO-Mk3-6-0","rcp45","2071-2100",3.80986344590758,0.51997326193981
"210","YT","tg_mean","CSIRO-Mk3-6-0","rcp45","2041-2070",2.99182995894725,0.311406465458592
"211","YT","tg_mean","CanESM2","rcp45","2071-2100",4.42527317342358,0.439755732427238
"212","YT","tg_mean","CanESM2","rcp45","2041-2070",4.16554309807253,0.433560466753519
"213","YT","tg_mean","FGOALS-g2","rcp45","2071-2100",2.18514359789906,0.397178222227978
"214","YT","tg_mean","FGOALS-g2","rcp45","2041-2070",2.80568679721129,0.389910380515586
"215","YT","tg_mean","GFDL-CM3","rcp45","2071-2100",5.76622818128428,1.14311821699365
"216","YT","tg_mean","GFDL-CM3","rcp45","2041-2070",4.89154720338912,0.962295857765339
"217","YT","tg_mean","GFDL-ESM2G","rcp45","2071-2100",2.57697626498223,0.448586955923488
"218","YT","tg_mean","GFDL-ESM2G","rcp45","2041-2070",2.47726984866195,0.40877203208836
"219","YT","tg_mean","GFDL-ESM2M","rcp45","2071-2100",1.79043202574164,0.472331276845111
"220","YT","tg_mean","GFDL-ESM2M","rcp45","2041-2070",1.8778340183262,0.471467726660176
"221","YT","tg_mean","HadGEM2-AO","rcp45","2071-2100",5.13225529342636,0.76305344843604
"222","YT","tg_mean","HadGEM2-AO","rcp45","2041-2070",3.83443767691975,0.644250157222525
"223","YT","tg_mean","HadGEM2-ES","rcp45","2071-2100",5.57042468695603,0.967900968692011
"224","YT","tg_mean","HadGEM2-ES","rcp45","2041-2070",4.67609561721172,1.10576769801341
"225","YT","tg_mean","IPSL-CM5A-LR","rcp45","2071-2100",4.1575474028615,0.212700073274532
"226","YT","tg_mean","IPSL-CM5A-LR","rcp45","2041-2070",3.43143287942225,0.200284602421356
"227","YT","tg_mean","IPSL-CM5A-MR","rcp45","2071-2100",3.44905031674395,0.234381110741158
"228","YT","tg_mean","IPSL-CM5A-MR","rcp45","2041-2070",2.96641040051548,0.236093514586053
"229","YT","tg_mean","MIROC-ESM-CHEM","rcp45","2071-2100",5.19315655744405,0.484498155051298
"230","YT","tg_mean","MIROC-ESM-CHEM","rcp45","2041-2070",4.27404665239752,0.327854031983246
"231","YT","tg_mean","MIROC-ESM","rcp45","2071-2100",5.24895004912362,0.561121997896759
"232","YT","tg_mean","MIROC-ESM","rcp45","2041-2070",4.60309587303705,0.402210168835698
"233","YT","tg_mean","MIROC5","rcp45","2071-2100",4.33540426502039,0.679794564738098
"234","YT","tg_mean","MIROC5","rcp45","2041-2070",3.25818405970753,0.615726843301278
"235","YT","tg_mean","MPI-ESM-LR","rcp45","2071-2100",3.31400745702692,0.642830722377152
"236","YT","tg_mean","MPI-ESM-LR","rcp45","2041-2070",3.39680783609624,0.586645885882715
"237","YT","tg_mean","MPI-ESM-MR","rcp45","2071-2100",4.02718567872592,0.643774536506613
"238","YT","tg_mean","MPI-ESM-MR","rcp45","2041-2070",2.97674988448478,0.53579295735764
