"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"152","AB","prcptot","BNU-ESM","rcp85","2041-2070",1.22226244813014,0.0899413019976483
"153","AB","prcptot","CCSM4","rcp85","2071-2100",1.07113622777932,0.0368981795497092
"154","AB","prcptot","CCSM4","rcp85","2041-2070",1.07344390459706,0.0334077883909194
"155","AB","prcptot","CESM1-CAM5","rcp85","2071-2100",1.10064778767745,0.0294423489683214
"156","AB","prcptot","CESM1-CAM5","rcp85","2041-2070",1.10531907656045,0.0228806929864269
"157","AB","prcptot","CNRM-CM5","rcp85","2071-2100",1.12693230238708,0.0297116228839425
"158","AB","prcptot","CNRM-CM5","rcp85","2041-2070",1.08206618829811,0.0271041949830058
"159","AB","prcptot","CSIRO-Mk3-6-0","rcp85","2071-2100",1.07708229928354,0.0606897792224875
"160","AB","prcptot","CSIRO-Mk3-6-0","rcp85","2041-2070",1.03208926162569,0.052285802548794
"161","AB","prcptot","CanESM2","rcp85","2071-2100",1.23303346623247,0.0584646047491384
"162","AB","prcptot","CanESM2","rcp85","2041-2070",1.18849540012506,0.0419481646323772
"163","AB","prcptot","FGOALS-g2","rcp85","2071-2100",1.22955420932609,0.0924476484144245
"164","AB","prcptot","FGOALS-g2","rcp85","2041-2070",1.1181204895456,0.0268545031923872
"165","AB","prcptot","GFDL-CM3","rcp85","2071-2100",1.33775093465813,0.0656858813966723
"166","AB","prcptot","GFDL-CM3","rcp85","2041-2070",1.26457266674535,0.0480464351408547
"167","AB","prcptot","GFDL-ESM2G","rcp85","2071-2100",1.12482230700676,0.0590627299237186
"168","AB","prcptot","GFDL-ESM2G","rcp85","2041-2070",1.09240960890813,0.0301695301199785
"169","AB","prcptot","GFDL-ESM2M","rcp85","2071-2100",1.1588011701305,0.0551077406790286
"170","AB","prcptot","GFDL-ESM2M","rcp85","2041-2070",1.08792601125092,0.0514377467088268
"171","AB","prcptot","HadGEM2-AO","rcp85","2071-2100",1.01050663161738,0.0560085486142533
"172","AB","prcptot","HadGEM2-AO","rcp85","2041-2070",1.01182913302999,0.0556071392504487
"173","AB","prcptot","HadGEM2-ES","rcp85","2071-2100",0.997467836140422,0.0399106208258335
"174","AB","prcptot","HadGEM2-ES","rcp85","2041-2070",1.07524914303534,0.0387403438263809
"175","AB","prcptot","IPSL-CM5A-LR","rcp85","2071-2100",1.07988503442026,0.0340737644052845
"176","AB","prcptot","IPSL-CM5A-LR","rcp85","2041-2070",1.03848145817091,0.0287262090364284
"177","AB","prcptot","IPSL-CM5A-MR","rcp85","2071-2100",1.05774980512943,0.0503681208450539
"178","AB","prcptot","IPSL-CM5A-MR","rcp85","2041-2070",1.02602641758575,0.0414717190789868
"179","AB","prcptot","MIROC-ESM-CHEM","rcp85","2071-2100",1.23419180851437,0.0561327253746574
"180","AB","prcptot","MIROC-ESM-CHEM","rcp85","2041-2070",1.15858646455584,0.030229763377079
"181","AB","prcptot","MIROC-ESM","rcp85","2071-2100",1.24765021266404,0.0419915879269468
"182","AB","prcptot","MIROC-ESM","rcp85","2041-2070",1.14597875050641,0.0390604609305001
"183","AB","prcptot","MIROC5","rcp85","2071-2100",1.06962772228156,0.0476859639715358
"184","AB","prcptot","MIROC5","rcp85","2041-2070",1.09122058941903,0.0381903089559477
"185","AB","prcptot","MPI-ESM-LR","rcp85","2071-2100",1.13653059697198,0.061279339051594
"186","AB","prcptot","MPI-ESM-LR","rcp85","2041-2070",1.07372197993331,0.0452672923402668
"187","AB","prcptot","MPI-ESM-MR","rcp85","2071-2100",1.08780458051105,0.0692578199415707
"188","AB","prcptot","MPI-ESM-MR","rcp85","2041-2070",1.11250567583279,0.0377097252841964
"189","AB","prcptot","MRI-CGCM3","rcp85","2071-2100",1.18037217115489,0.0722274491393697
"190","AB","prcptot","MRI-CGCM3","rcp85","2041-2070",1.11224853988353,0.0582830217436163
"191","AB","prcptot","NorESM1-ME","rcp85","2071-2100",1.24753176545875,0.0469346279437218
"192","AB","prcptot","NorESM1-ME","rcp85","2041-2070",1.17163069724293,0.0297934929935308
"193","AB","prcptot","NorESM1-M","rcp85","2071-2100",1.15900588425607,0.0402981592314833
"194","AB","prcptot","NorESM1-M","rcp85","2041-2070",1.10405140993253,0.0268740667830542
"195","AB","prcptot","bcc-csm1-1-m","rcp85","2071-2100",1.16265758420872,0.0418719806229938
"196","AB","prcptot","bcc-csm1-1-m","rcp85","2041-2070",1.07819497311423,0.0304936622656612
"197","AB","prcptot","bcc-csm1-1","rcp85","2071-2100",1.23457443629884,0.0548112339269058
"198","AB","prcptot","bcc-csm1-1","rcp85","2041-2070",1.20058597309643,0.0370489899212078
"199","AB","prcptot","ACCESS1-0","rcp85","2071-2100",1.05890680421386,0.0911471334181577
"200","AB","prcptot","ACCESS1-0","rcp85","2041-2070",1.07228847228568,0.0506773490416887
"201","YT","prcptot","BNU-ESM","rcp45","2071-2100",1.23815261263133,0.0411362595395383
"202","YT","prcptot","BNU-ESM","rcp45","2041-2070",1.20823117802494,0.0301323402275134
"203","YT","prcptot","CCSM4","rcp45","2071-2100",1.15281901902427,0.0265484567474839
"204","YT","prcptot","CCSM4","rcp45","2041-2070",1.10561131206412,0.0275751241012613
"205","YT","prcptot","CESM1-CAM5","rcp45","2071-2100",1.15632843461832,0.0407876854617923
"206","YT","prcptot","CESM1-CAM5","rcp45","2041-2070",1.13942617869805,0.0321802294073413
"207","YT","prcptot","CNRM-CM5","rcp45","2071-2100",1.13239533746782,0.0408958163471666
"208","YT","prcptot","CNRM-CM5","rcp45","2041-2070",1.08494504717983,0.0304363494883407
"209","YT","prcptot","CSIRO-Mk3-6-0","rcp45","2071-2100",1.18118503608761,0.054597096564126
"210","YT","prcptot","CSIRO-Mk3-6-0","rcp45","2041-2070",1.13659115472333,0.0311446160003615
"211","YT","prcptot","CanESM2","rcp45","2071-2100",1.19588415996776,0.0322806670786426
"212","YT","prcptot","CanESM2","rcp45","2041-2070",1.16124654143662,0.0253785188049935
"213","YT","prcptot","FGOALS-g2","rcp45","2071-2100",1.12304324034357,0.0157547756218932
"214","YT","prcptot","FGOALS-g2","rcp45","2041-2070",1.12432178556403,0.0365716104678722
"215","YT","prcptot","GFDL-CM3","rcp45","2071-2100",1.36328401604924,0.0723592697356242
"216","YT","prcptot","GFDL-CM3","rcp45","2041-2070",1.30933851821175,0.0622409881324545
"217","YT","prcptot","GFDL-ESM2G","rcp45","2071-2100",1.116696982615,0.0260827032824874
"218","YT","prcptot","GFDL-ESM2G","rcp45","2041-2070",1.10097958130086,0.0218417438033039
"219","YT","prcptot","GFDL-ESM2M","rcp45","2071-2100",1.09820321263165,0.0330970453011364
"220","YT","prcptot","GFDL-ESM2M","rcp45","2041-2070",1.10248343176907,0.0334144379299613
"221","YT","prcptot","HadGEM2-AO","rcp45","2071-2100",1.24288221268123,0.0770001825159993
"222","YT","prcptot","HadGEM2-AO","rcp45","2041-2070",1.16685393823514,0.0604296517166535
"223","YT","prcptot","HadGEM2-ES","rcp45","2071-2100",1.32314191361542,0.0769179635256274
"224","YT","prcptot","HadGEM2-ES","rcp45","2041-2070",1.24657019978946,0.0857410147560579
"225","YT","prcptot","IPSL-CM5A-LR","rcp45","2071-2100",1.1700587799292,0.0369544423820279
"226","YT","prcptot","IPSL-CM5A-LR","rcp45","2041-2070",1.14589978153625,0.032712463883039
"227","YT","prcptot","IPSL-CM5A-MR","rcp45","2071-2100",1.15672093198331,0.0459245628946033
"228","YT","prcptot","IPSL-CM5A-MR","rcp45","2041-2070",1.1338825966985,0.030350577000103
"229","YT","prcptot","MIROC-ESM-CHEM","rcp45","2071-2100",1.26883894999926,0.0553449451447861
"230","YT","prcptot","MIROC-ESM-CHEM","rcp45","2041-2070",1.23552045694342,0.0518592650919343
"231","YT","prcptot","MIROC-ESM","rcp45","2071-2100",1.22333858477417,0.0482261520255905
"232","YT","prcptot","MIROC-ESM","rcp45","2041-2070",1.17021680510826,0.0464466008877576
"233","YT","prcptot","MIROC5","rcp45","2071-2100",1.19795824798347,0.0286111148664664
"234","YT","prcptot","MIROC5","rcp45","2041-2070",1.12694898232932,0.034399633230217
"235","YT","prcptot","MPI-ESM-LR","rcp45","2071-2100",1.12689116992263,0.0287066081238371
"236","YT","prcptot","MPI-ESM-LR","rcp45","2041-2070",1.11157326935418,0.0294341335932382
"237","YT","prcptot","MPI-ESM-MR","rcp45","2071-2100",1.14593543116027,0.0337472996797815
"238","YT","prcptot","MPI-ESM-MR","rcp45","2041-2070",1.13174371369668,0.0335071468541305
"239","YT","prcptot","MRI-CGCM3","rcp45","2071-2100",1.14368507273042,0.0588887050483196
"240","YT","prcptot","MRI-CGCM3","rcp45","2041-2070",1.13230654061515,0.056375275452813
"241","YT","prcptot","NorESM1-ME","rcp45","2071-2100",1.14253945233798,0.0299740227038046
"242","YT","prcptot","NorESM1-ME","rcp45","2041-2070",1.0973262613958,0.0295119644365019
"243","YT","prcptot","NorESM1-M","rcp45","2071-2100",1.16505368959226,0.0286737794397895
"244","YT","prcptot","NorESM1-M","rcp45","2041-2070",1.15830346405749,0.0418913807187816
"245","YT","prcptot","bcc-csm1-1-m","rcp45","2071-2100",1.11556972684118,0.0235669800158124
"246","YT","prcptot","bcc-csm1-1-m","rcp45","2041-2070",1.08864282117707,0.0277222109329879
"247","YT","prcptot","bcc-csm1-1","rcp45","2071-2100",1.18705651815051,0.0111010475867491
"248","YT","prcptot","bcc-csm1-1","rcp45","2041-2070",1.13729179711337,0.0243370504646733
"249","YT","prcptot","ACCESS1-0","rcp45","2071-2100",1.207913954165,0.0432580660410131
"250","YT","prcptot","ACCESS1-0","rcp45","2041-2070",1.13992813065363,0.0329803403588418
"251","YT","prcptot","BNU-ESM","rcp85","2071-2100",1.48247535228378,0.056584396627801
"252","YT","prcptot","BNU-ESM","rcp85","2041-2070",1.28600096490657,0.0476290191391826
"253","YT","prcptot","CCSM4","rcp85","2071-2100",1.30148673321246,0.0461694930426488
"254","YT","prcptot","CCSM4","rcp85","2041-2070",1.20857881990287,0.0389007173084513
"255","YT","prcptot","CESM1-CAM5","rcp85","2071-2100",1.32063131300921,0.0627031967853483
"256","YT","prcptot","CESM1-CAM5","rcp85","2041-2070",1.20321172571403,0.039709303007143
"257","YT","prcptot","CNRM-CM5","rcp85","2071-2100",1.22932894220529,0.060124640355472
"258","YT","prcptot","CNRM-CM5","rcp85","2041-2070",1.1201246978361,0.0371564354826603
"259","YT","prcptot","CSIRO-Mk3-6-0","rcp85","2071-2100",1.28126394876376,0.0723801504742392
"260","YT","prcptot","CSIRO-Mk3-6-0","rcp85","2041-2070",1.16198383793165,0.0450179797783715
"261","YT","prcptot","CanESM2","rcp85","2071-2100",1.38097411143526,0.0612927640458902
"262","YT","prcptot","CanESM2","rcp85","2041-2070",1.23921751198517,0.0390728575679269
"263","YT","prcptot","FGOALS-g2","rcp85","2071-2100",1.21609987867187,0.0349172114883243
"264","YT","prcptot","FGOALS-g2","rcp85","2041-2070",1.14978021406746,0.038886870391861
"265","YT","prcptot","GFDL-CM3","rcp85","2071-2100",1.54685028576767,0.108600926189757
"266","YT","prcptot","GFDL-CM3","rcp85","2041-2070",1.34321744125435,0.0765690845484251
"267","YT","prcptot","GFDL-ESM2G","rcp85","2071-2100",1.26371833985702,0.0329530973621084
"268","YT","prcptot","GFDL-ESM2G","rcp85","2041-2070",1.12905519452458,0.0196862144017415
